location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1982-08-08 00:00:00+00:00,29.289,19.088999,23.976496
Berlin,1982-08-09 00:00:00+00:00,25.189,18.489,21.345247
Berlin,1982-08-10 00:00:00+00:00,23.588999,16.689,19.81817
Berlin,1982-08-11 00:00:00+00:00,22.389,14.089,18.224417
Berlin,1982-08-12 00:00:00+00:00,29.139,12.889,22.086916
Berlin,1982-08-13 00:00:00+00:00,24.289,17.789,21.39525
Berlin,1982-08-14 00:00:00+00:00,21.088999,13.889,18.049417
Berlin,1982-08-15 00:00:00+00:00,25.489,11.738999,19.609835
Berlin,1982-08-16 00:00:00+00:00,23.139,15.539,19.164
Berlin,1982-08-17 00:00:00+00:00,22.639,15.089,18.8015
Berlin,1982-08-18 00:00:00+00:00,24.939,14.389,19.603584
Berlin,1982-08-19 00:00:00+00:00,21.439,13.738999,18.74525
Berlin,1982-08-20 00:00:00+00:00,19.939,12.688999,16.664
Berlin,1982-08-21 00:00:00+00:00,19.189,12.238999,15.42025
Berlin,1982-08-22 00:00:00+00:00,19.588999,12.889,16.172335
Berlin,1982-08-23 00:00:00+00:00,22.689,13.639,18.122335
Berlin,1982-08-24 00:00:00+00:00,20.588999,13.938999,17.089
Berlin,1982-08-25 00:00:00+00:00,18.939,14.039,16.011917
Berlin,1982-08-26 00:00:00+00:00,24.989,12.889,19.18275
Berlin,1982-08-27 00:00:00+00:00,21.989,14.089,18.674417
Berlin,1982-08-28 00:00:00+00:00,21.189,11.139,16.561916
Berlin,1982-08-29 00:00:00+00:00,21.039,10.688999,16.305666
Berlin,1982-08-30 00:00:00+00:00,23.939,11.988999,18.759836
Berlin,1982-08-31 00:00:00+00:00,23.439,16.588999,19.374416
Berlin,1983-06-01 00:00:00+00:00,26.139,10.789,18.98692
Berlin,1983-06-02 00:00:00+00:00,21.939,13.339,18.114
Berlin,1983-06-03 00:00:00+00:00,20.539,12.789,17.07025
Berlin,1983-06-04 00:00:00+00:00,24.139,12.039,19.04525
Berlin,1983-06-05 00:00:00+00:00,18.039,12.438999,16.316084
Berlin,1983-06-06 00:00:00+00:00,14.789,6.939,12.086915
Berlin,1983-06-07 00:00:00+00:00,18.338999,4.939,12.784833
Berlin,1983-06-08 00:00:00+00:00,23.838999,8.938999,16.995253
Berlin,1983-06-09 00:00:00+00:00,22.739,13.339,18.418165
Berlin,1983-06-10 00:00:00+00:00,18.739,13.339,16.295252
Berlin,1983-06-11 00:00:00+00:00,19.838999,10.389,15.703584
Berlin,1983-06-12 00:00:00+00:00,23.039,10.938999,18.21192
Berlin,1983-06-13 00:00:00+00:00,20.389,14.688999,17.249418
Berlin,1983-06-14 00:00:00+00:00,17.838999,13.938999,15.972335
Berlin,1983-06-15 00:00:00+00:00,16.939,10.938999,13.711915
Berlin,1983-06-16 00:00:00+00:00,15.789,9.589,12.649418
Berlin,1983-06-17 00:00:00+00:00,14.539,8.289,11.384835
